ID,new_topic,post,GT Stance,predictions,predicted_stance_ BERTTWEET
20175,donald trump,donald trump:  proof positive that gigantism is the last stage before extinction. #missusa #semst,UNKNOWN,samuel el santos: a sy,AGAINST
20176,donald trump,kudos to donald trump for telling off nbc. the media hates the gop's & will do anything to destroy them. #nbc #mediaatfault #semst,UNKNOWN,for telling off nbc.... #mediaatf,AGAINST
20177,donald trump,one of the key problems today is that politics is such a disgrace,good people don't go into government. - @realDonaldTrump #SemST,that politics is such a disgrace that it is so a disgrace that,AGAINST
20178,donald trump,really #donaldtrump,all Mexican people are rapists,trump #donaldtrump #donaldtrump really #d,FAVOR
20179,donald trump,the left fear donald trump,BIG TIME! @realDonaldTrump  #SemST,fear donald trump the left fear donald trump the left fear,AGAINST
20180,donald trump,@cvpayne @foxbusiness yup you got that right #semst,UNKNOWN,@foxbusiness yup you got that right @cvpayne @foxbusiness,FAVOR
20181,donald trump,#thefive geraldo is an ass and when he spews his leftist bs he makes me sick turning off the five #thefive #semst,UNKNOWN,#thefive #thefive geraldo is an ass and when,AGAINST
20182,donald trump,go back to focusing on brainless beauties... oh wait you can't cuz you've been fired #nbc #youlose #sorrynotsorry #semst,UNKNOWN,... oh wait you can't cuz you've been fired...,AGAINST
20183,donald trump,donald trump gets the boot from #nbc for calling immigrants rapists and murderers. hey donnie,where's your wife from again? #SemST,trump gets booted for calling immigrants rapists and murderers.,AGAINST
20184,donald trump,donald trump needs to stop embarrassing himself. racist assholes.... #semst,UNKNOWN,trump needs to stop embarrassing himself.. trump needs to stop embarrassing,AGAINST
20185,donald trump,@mariolopezextra @nbc fires trump,but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO #SemST,@mariolopezextra @nbc fires trump trump,AGAINST
20186,donald trump,hey @mayorgregor thanks for letting a racist bigot build a giant tower with his name on it downtown. real proud of ya. #semst,UNKNOWN,hey @mayorgregor hey @mayorgregor hey @mayor,AGAINST
20187,donald trump,@roughhouse_ent who the hell wants to watch this without #semst,UNKNOWN,@roughhouse_ent @roughhouse_ent @roughhouse_ent @roughhouse,FAVOR
20188,donald trump,@realdonaldtrump i am sorry mexico sends people like dylan roof,Mitchelle Blair and David Sweat to the USA. #enemywithin #SemST,trumptrump @realdonaldtrump i am sorry mexico,AGAINST
20189,donald trump,donald trump is in dire need of a crisis communicator. pr folks,please give him your two cents. #SorryNotSorry #SemST,trump is in dire need of a crisis communicator. trump,AGAINST
20190,donald trump,donald trump is the man lets get this man in the white house!!! #semst,UNKNOWN,is the man lets get this man in the white house!!! ! #sems,FAVOR
20191,donald trump,@realjameswoods @loriblaney my parents warned me to stay away from anyone offering free candy. nothing is ever free.  #semst,UNKNOWN,@loriblaney @realjameswoods @loriblaney my parents,FAVOR
20192,donald trump,i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions #semst,UNKNOWN,t win the presidency so bad. i want donald trump to win the,FAVOR
20193,donald trump,holy shit,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow #SemST,shite shite. holy shite. holy s,AGAINST
20194,donald trump,i write separately to call attention to this court's threat to american democracy - #obergefellvhodges #americaisscrewed #semst,UNKNOWN,write separately to call attention to this court's threat to american democracy - #oberg,AGAINST
20195,donald trump,i believe this september's blood moon portends a cataclysmic event. #christians  #semst,UNKNOWN,i believe this september's blood moon portends a catacly,AGAINST
20196,donald trump,more people should pay attention to the greek situation cuz it's the first dominoe to fall #grexit #tcot #semst,UNKNOWN,. #grexit #tcot #semst #grexit,AGAINST
20197,donald trump,. @senatorkitchen @nbc how deeply offensive such comments are not only to mexican-americans,but Latino Americans in general. #SemST,... @senatorkitchen . .,FAVOR
20198,donald trump,mr. @realdonaldtrump   i appreciate you standing your ground as you've done.  i can say i've never felt better about voting. #semst,UNKNOWN,trumptrump i appreciate you standing your ground as you did. i can,FAVOR
20199,donald trump,the california draught is a myth created by the government. the point was to conserve water for use in the war against isis. #semst,UNKNOWN,the california draught is a myth created by the government,AGAINST
20200,donald trump,@ginnyquaglia well the rest of the majority had better get off their asses and get involved in this fight. #semst,UNKNOWN,@ginnyquaglia @ginnyquaglia @gin,FAVOR
20201,donald trump,@realdonaldtrump really? the perfect definition of ignorance... the perfect example of someone who does not know reality... #semst,UNKNOWN,trump @realdonaldtrump really? @realdonaldtrump really,AGAINST
20202,donald trump,i'm sure the white euro people who moved to america when the land belonged to native americans were not good people either,#SemST,i'm sure the white euro people who moved to america when the land belonged,AGAINST
20203,donald trump,@potus the whole light thing with the people's house was disgraceful.  #semst,UNKNOWN,@potus the whole thing with the people's house was disgraceful.,AGAINST
20204,donald trump,he doesn't care & would have to give up tv gigs anyway to run... loves attention & controversy  #semst,UNKNOWN,stuff & he doesn't care & would have to give,AGAINST
20205,donald trump,july 4th occurs on ramadan. since 911,this is most concern I've seen FBI,"4th occurs on ramadan. since 911, 911 has been called. since 911,",FAVOR
20206,donald trump,do gay people understand that if #sharialaw comes,those Marriage Licenses target them for death? - Dr. Samm   #LovesWins  #SemST,"how how do gay people understand that if #sharialaw comes into being,",AGAINST
20207,donald trump,after a major stroke,4 years later I'm still waiting. 15 mil are getting  free what I work for my whole life. #SemST,"a major stroke. He died on December 31, 2018.",FAVOR
20208,donald trump,@realdonaldtrump what nbc actually stands for....nothing but crap. #boycottnbc #semst,UNKNOWN,trumptrump @realdonaldtrump @realdonaldtrump,AGAINST
20209,donald trump,@nbcuniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #yourefired #semst,UNKNOWN,universal maybe you could have a reality show trying to find a new host of celebrity,AGAINST
20210,donald trump,@foxnation read my lips,""" I am Nuts "" get out of people's personal life. #SemST",@foxnation read my lips @foxnation read my lips @foxnation read,FAVOR
20211,donald trump,if trump could build the wall it would provide jobs & also b a tourist attraction & pay 4 itself legals arent the ones offended! #semst,UNKNOWN,trump could build the wall it would provide jobs & also provide a tourist,FAVOR
20212,donald trump,@mikebates @bi_retailnews sickening,Children are at the Parades! BHO has turn this Country tolongest 6.6yrs of my Life! #SemST,@mikebates @bi_retailnews sickening @mikeb,FAVOR
20213,donald trump,@realdonaldtrump you're fired! now get out of here! go!    #semst,UNKNOWN,@realdonaldtrump i'm fired! @realdonald,AGAINST
20214,donald trump,@harisstr howz greece heard u like to anal pound didnt think u were like that #semst,UNKNOWN,@harisstr howz greece heard u like to anal,AGAINST
20215,donald trump,donald trump is gonna end up like hitler #semst,UNKNOWN,t trump i thinks trump is gonna end up,AGAINST
20216,donald trump,"@realdonaldtrump just so you know white people have more of a ""rapist"" title",than Hispanics. #NotBeingRasist #DoResearch  #SemST,trump @realdonaldtrump just so you know just so you know,AGAINST
20217,donald trump,@christiec733  yes donald u r 100% correct' as long as u stay the coruse and don't pander to gop u got my vote #semst,UNKNOWN,@christiec733 yes donald u r 100% correct' as,FAVOR
20218,donald trump,that 5-mile run yesterday? yeah,we're feeling it this morning. #FeelTheBern #MoreCleverHashtags #SemST,"5 mile run yesterday? Yeah, that 5-mile run yesterday? yeah, that 5-mile run",FAVOR
20219,donald trump,america: isn't it time we ignored donald trump? he's not a serious person. @nypd should revoke his gun permit. #immigration #nbc #semst,UNKNOWN,sally kohn: is it time we ignored donald trump?,AGAINST
20220,donald trump,what is it with the pple who enjoy harassing me by writing captions on my photographs @lrihendry? #scientology    #hurtful #semst,UNKNOWN,? @lrihendry? @lrihendry? @lr,AGAINST
20221,donald trump,these noodles on my head are so hard to comb! #semst,UNKNOWN,a noodle! these noodles are so hard to comb! !,AGAINST
20222,donald trump,@realdonaldtrump is not a pilitical puppet. maybe a piata,but definitely not a puppet. #SemST,trump is not a pilitical puppet.trump is not a pi,AGAINST
20223,donald trump,donald trump is biff in the alternate universe 1985 in back to the future 2.   #biff #backtothefuture #semst,UNKNOWN,trump is biff in the alternate universe 1985 in back to the future 2. don,AGAINST
20224,donald trump,tuesday am #trumpdump on horizon. i can see chris christie being victim. nbc for sure. anyone else? #tellingitlikeitis #semst,UNKNOWN,am am am am #trumpdump on horizon..,AGAINST
20225,donald trump,@kupajo33 @chrischristie we don't need him! #semst,UNKNOWN,we don't need him! @kupajo33 @chrischristie,AGAINST
20226,donald trump,without mexicans illegal or legal us shuts down,Your people will never be able to keep up with our hard workers. #WeAreMexico #SemST,illegal or legal us shuts downs without mexicans illegal or legal,AGAINST
20227,donald trump,not an american but i'll def be following the circus of the 2016 presidential running unfold. #christie2016   #semst,UNKNOWN,but i'll def be following the circus of the 2016 presidential running unfold. I,AGAINST
20228,donald trump,notice @realdonaldtrump not saying anything on #carlosslim . not so rich or tough now,huh? Yeah,. . . . . . . .,AGAINST
20229,donald trump,hutch_usa follow ===> sarah_brannick <===  if you want to #freeamir #freeamirnow  #pjnet #semst,UNKNOWN,=== if you want to #freeamir #freeamirnow,FAVOR
20230,donald trump,freedom of speech? yeah right. you are only allowed to say what you want if it lines up with the liberal agenda. wake up people #semst,UNKNOWN,you are only allowed to say what you want if it lines up with the liberal agenda?,FAVOR
20231,donald trump,@mdsbarry illegal aliens come to us collect welfare and social security,its time to #MakeAmericaGreatAgain SECURE OUR BORDERS  #SemST,illegal aliens come to us illegal aliens come to us illegal aliens come to us illegal,AGAINST
20232,donald trump,if you think it's fine american car companies send jobs to mexico while we pay for their welfare you must hate @realdonaldtrump   #semst,UNKNOWN,send jobs to mexico while we pay for their welfare you must hate @realdonal,AGAINST
20233,donald trump,@dahat8 @stonewall_77 the hate within america is stronger now than i remember since 1969? can't go backwards to such division #semst,UNKNOWN,@stonewall_77 @dahat8 @stonewall_77 the hate within,AGAINST
20234,donald trump,think u can say anything without repercussion? ask mel gibson how that's working out for him u racist elitist piece of shit! #semst,UNKNOWN,u u u a racist elitist piece of s,AGAINST
20235,donald trump,#breaking: greece is now in arrears to the international monetary fund on a payment of almost 1.6 billion | coming to america #semst,UNKNOWN,greece is now in arrears on a payment of almost 1.6 billion,AGAINST
20236,donald trump,it's funny when politics seem like farce. not so funny when politics becomes farce. #semst,UNKNOWN,.. not so funny when politics becomes farce. not so funny when politics becomes far,AGAINST
20237,donald trump,@quiltingmuriel but i do agree about the excess speechifying and posturing and general nonsense. hello #semst,UNKNOWN,@quiltingmuriel but i do agree about the excess speechifying and,FAVOR
20238,donald trump,omg! .@kirstenpowers practically states whites are more racist than blacks because whites are oppressing blacks. where? wtf? #semst,UNKNOWN,.@kirstenpowers .@kirstenpowers practically states whites,AGAINST
20239,donald trump,what's @realdonaldtrump wife's twitter handle? i need to ask her if his balls are made of brass...i'm certain they are.   #nohomo #semst,UNKNOWN,i need to ask her if his balls are made of brass...i'm certain,AGAINST
20240,donald trump,#kellyfile remember the days when we believed #scotus would follow the #constitution well they gone #semst,UNKNOWN,kellyfile #kellyfile #kellyfile #kellyfile #kellyfile,AGAINST
20241,donald trump,@chrisleychase think your adorable. remind me of my nephew. stay young. the new comb over you're sporting is aging you. #semst,UNKNOWN,chase @chrisleychase @chrisleychas,FAVOR
20242,donald trump,miss usa host de la fuente quits pageant and call @realdonaldtrump ignorant and a clown... #semst,UNKNOWN,miss usa host de la fuente quits pageant and call @realdonald,AGAINST
20243,donald trump,@cnnpolitics @cnn if you spent as much time covering bernie sanders as you do trump,Sanders would be ahead in every poll.   #SemST,@cnnpolitics @cnnpolitics @cnnpolitics @,FAVOR
20244,donald trump,remember that story about a charismatic businessman who will lie to get into power from an obscure position? #revelation #semst,UNKNOWN,you #semst #revelation #semst #,AGAINST
20245,donald trump,@realdonaldtrump suing univision & nbc because they cut you off. ugh great political move,because we need a greedy President! #SemST,trump suing univision & nbc because they cut you off,AGAINST
20246,donald trump,cancel your netflix subscription and donate to @realdonaldtrump's campaign for entertainment #trump #semst,UNKNOWN,your netflix subscription and donate to @realdonaldtrump's campaign for,AGAINST
20247,donald trump,"me: ""that asshole with the toupee was talking again and it was stressing me out""  dad: ""who?""  mom: ""donald trump #semst",UNKNOWN,"""that asshole with the toupee was talking again and it was stressing me",AGAINST
20248,donald trump,donald trump....you're fired,fired,"trump by donald trump....you're fired, you'",AGAINST
20249,donald trump,@divadoll123 @lanurse1 @shaninzt u can't go back.only way people r going to wake up is when the free checks stop coming!#tcot #semst,UNKNOWN,@shaninzt @divadoll123 @lanurse1,AGAINST
20250,donald trump,just watched @realdonaldtrump speech. how embarrassing for his family! like that's a really bad dad moment  #semst,UNKNOWN,@realdonaldtrump speech.. he's so embarrassing for,AGAINST
20251,donald trump,@johnkerry @statedept nude pic of you and brian williams on your desk!  my eyes my eyes #semst,UNKNOWN,@statedept @johnkerry @statedept nude pic of you and,FAVOR
20252,donald trump,gotta love everyone disliking @realdonaldtrump because he actually makes sense,and may even bring the country back to normal #SemST,i love that youtrumprealdonaldtrumptrump,FAVOR
20253,donald trump,john o'donnell,"former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks. #SemST",o'donnell.. john o'donnell. john,FAVOR
20254,donald trump,i feel dumb that i am so broke and donald trump is a billionaire. #semst,UNKNOWN,i feel dumb that i am so broke and donald trump is,AGAINST
20255,donald trump,there is still more to be done to make this country strong,powerful and great again. #TrumpCarson2016 #SemST,"a strong country. But strong and strong, country strong. But country strong",FAVOR
20256,donald trump,@crypt1cality @chriscuomo illegal aliens are destroying america and raping our women! #semst,UNKNOWN,@crypt1cality @chriscuomo illegal aliens are destroying,AGAINST
20257,donald trump,"the #obama presidency: has there ever a point in time when he hasn't been lying to #wethepeople? re: the ""liar-in-chief #semst",UNKNOWN,#obama presidency: has there ever a point in time when he hasn,AGAINST
20258,donald trump,i just cancelled my reservation at the trump hotel in las vegas.  i hope like minded people intolerant of bigots do the same #semst,UNKNOWN,i just cancelled my reservation at the trump hotel in las vegas.,AGAINST
20259,donald trump,why are free market conservatives behind a multiple bankruptcy candidate who wears makeup. gives us real conservatives a bad name #semst,UNKNOWN,"a Democrat who wears makeup. i'm not a conservative,",AGAINST
20260,donald trump,@mmfa water seeks its own level. in the case of @realdonaldtrump and @oreillyfactor,it's sewer water. #FoxNews #Trump #SemST,@mmfa water seeks its own level. in the case of @realdonal,AGAINST
20261,donald trump,@realdonaldtrump i know you are the best candidate. you are the only one who can #makeamericagreatagain #restoreourrepublic #semst,UNKNOWN,trumptrump @realdonaldtrump i know you are the,FAVOR
20262,donald trump,of the many @realdonaldtrump racist comments,"this one takes the prize!  ""Laziness is a trait in blacks.""  #SemST",trump racist comments. I am so tired @realdonaldtrump racist comments,AGAINST
20263,donald trump,it's not a good week for #semst,UNKNOWN,#semst. #semst. #sem,AGAINST
20264,donald trump,"rt @blisstabitha ""never quite works out that way huh?  #globalwarming hoax #mediamalpractice #semst",UNKNOWN,"@blisstabitha ""never quite works out that way huh? """,AGAINST
20265,donald trump,left-wing media trying to silence @realdonaldtrump? hahaha  keep trying! trump is not a career politician & he won't be bought!  #semst,UNKNOWN,to silence @realdonaldtrump?? hahahahahahaha,AGAINST
20266,donald trump,"#macys ""we have no tolerance for discrimination in any form","I thought the left preached tolerance. Not discrimination but truth #SemST,UNKNOWN
20267,Donald Trump,Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,UNKNOWN
20268,Donald Trump,Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short #SemST,UNKNOWN
20269,Donald Trump,I love how everyone thinks canceling @realDonaldTrump's ventures will do anything but hurt themselves. This man has my vote! #SemST,UNKNOWN
20270,Donald Trump,Comments by @realDonaldTrump were hateful & disgusting. Everyone should sever their ties with him. Thanks @Macys @Univision @nbc #SemST,UNKNOWN
20271,Donald Trump,@people @KimKardashian I dont even have to read this 2 know who she would want 4 the next president. #Killary #SemST,UNKNOWN
20272,Donald Trump,@gbennettpost @jamiedupree No  #asstards!  America is dumping you! Trump's gonna put your dicks in the dirt! #SemST,UNKNOWN
20273,Donald Trump,@Lrihendry your just as ignorant as #SemST,UNKNOWN
20274,Donald Trump,Thank you @Macys! You are and will continue to be my favorite store! Bye bye #DoucheBag #SemST,UNKNOWN
20275,Donald Trump,hey @Macys a whole bunch of us are going to sever ties with you.   #Macys #SemST,UNKNOWN
20276,Donald Trump,So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!  #SemST,UNKNOWN
20277,Donald Trump,@Ehsan_Kassim It's time we make the Housewares department great again #SemST,UNKNOWN
20278,Donald Trump,@JudgeMbro Thank you for RT and FAV, judge!!! #USA #OhHillNo #Cuba #TodosMarchamos #Venezuela #SemST,UNKNOWN
20279,Donald Trump,@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. Magic of Macy's"" my ass #SemST","""we have no tolerance for discrimination in any form"" #macys ""we have",AGAINST
20280,donald trump,we get all the bad #mexicans...minus the ones whose labor built your empire,of course. #TrumpedFacts #Delusional #GTFOH #SemST,#mexicans...minus the ones whose labor built your empire...minus the,AGAINST
20281,donald trump,did anyone cut ties with senator lindsey graham when he called all iranians liars? no.  #semst,UNKNOWN,graham cut ties with senator lindsey graham when he,AGAINST
20282,donald trump,i would vote for @realdonaldtrump if he had a hilariously oversized head,I'm talking 2x size of his body #SemST,if he had a ridiculously oversized head.trump if,AGAINST
20283,donald trump,did you know that the u.s constitution is now under full pledge attack by the obama tyrant administration? #wethepeople #semst,UNKNOWN,? #wethepeople #semst #wethepeople? Did,AGAINST
20284,donald trump,the more i read how nbc and macy's are cutting ties with @realdonaldtrump the more i'm convinced he should be president.  #semst,UNKNOWN,trump. the more i read how nbc and macy's,AGAINST
20285,donald trump,following his recent comments about immigrants,do you think Donald Trump's business interests will suffer? #Trump #SemST,comments about immigrants. His comments followed his recent comments about immigrants.,FAVOR
20286,donald trump,@tpm @realdonaldtrump this is what happens when you open your big mouth. you're out of luck for 2016 at this rate. #univision #semst,UNKNOWN,@tpm @realdonaldtrump this is what happens when you open your big,AGAINST
20287,donald trump,hey at @realdonaldtrump i'll vote for you if you adopt me! #semst,UNKNOWN,@realdonaldtrump i'll vote for you if you adopt,FAVOR
20288,donald trump,fuck macy's. fuck your july 4th fireworks. fuck your thanksgiving parade. fuck nbc. fuck univision. fuck mexico. fuck all of you. #semst,UNKNOWN,fuck nbc. fuck univision. fuck me,AGAINST
20289,donald trump,and this dude wants to be potus #foh #semst,UNKNOWN,#foh #semst #foh #sems,AGAINST
20290,donald trump,i hope every billionaire learned their lesson bout talking sh%t about mexicans!  do it in your golf clubs not on tv! #semst,UNKNOWN,i hope every billionaire learned their lesson about mexicans! i,AGAINST
20291,donald trump,@realdonaldtrump canada supports you! please stop the illegals at your boarder before they get to ours. #semst,UNKNOWN,trump canada supports you!trump canada supports you! @realdonaldtru,FAVOR
20292,donald trump,goodbye macy's,nbc,'s macy's's macy's macy's goodbye mac,FAVOR
20293,donald trump,@washtimes @billpostmus #congress approve this already! let president veto,then overturn his veto. #SemST,@billpostmus #congress approve this already! @washtimes @bill,FAVOR
20294,donald trump,@hamltonb026 that's the last thing i'm doing. i'm suggesting that liberals are the reason it is the issue it is today #semst,UNKNOWN,@hamltonb026 that's the last i'm doing.,AGAINST
20295,donald trump,#progressivecommandment:criminals need short sentences & cushy jails in order to rehabilitate them!#tcot @ericbolling #greta #semst,UNKNOWN,False,AGAINST
20296,donald trump,trump got the smarts to win the hearts #semst,UNKNOWN,trump got the smarts to win the hearts of the hearts #sems,FAVOR
20297,donald trump,it's truly amazing just how many people donald trump is making complete & utter fools of. gotta love it :) #murderersandrapists #semst,UNKNOWN,i love it :) :) i love it :),AGAINST
20298,donald trump,"obama listening to rap ""music"" in the white house is a disgrace. you can't spell crap without rap. #tcot #nobama #semst",UNKNOWN,"obama listening to rap ""music"" in the white house is a",AGAINST
20299,donald trump,crazy-speak & how often/many times it's repeated are not mutually exclusive; c'mon chris; don't you be lazy,too...  @chrislhayes #SemST,how often/many times it's repeated are not mutually exclusive; c',AGAINST
20300,donald trump,@tpm forget #anncoulter. faux's #hannity & #kellyfile have an endless supply of ignorant #gop summer interns. #rwnj #tcot #semst,UNKNOWN,tpmtpm #tpm forget #anncoulter. #t,AGAINST
20301,donald trump,@joehnewyork @maggiebeauchamp @dloesch this country is upside down.. #semst,UNKNOWN,@maggiebeauchamp @dloesch this country is upside down..,AGAINST
20302,donald trump,@politicallaughs meanwhile,derelicts,@politicallaughs meanwhile meanwhile @politicallaughs meanwhile @,FAVOR
20303,donald trump,#fellow texans who shop fire @macy's and shop #dillard's! #semst,UNKNOWN,#fellowtexans who shop fire @macy's and shop #dillard',AGAINST
20304,donald trump,radical islam is still a threat to the western world!!!! #awareness #patriot #unitedwestand #semst,UNKNOWN,radical islam is still a threat to the western world!!!! ! #islamic,AGAINST
20305,donald trump,well,someone's doing the raping. I get combed and gooped up so much,.. well. well. well. well. well. well. well. well.,FAVOR
20306,donald trump,just so its not lost,today ISIS executed 74 children. To make it worse,just so its not lost just so its not lost just so its not lost just so its,FAVOR
20307,donald trump,i wrote 'the art of the deal,' the number one best selling business book of all time,wrote 'the art of the deal'. i wrote 'the art of the,FAVOR
20308,donald trump,finally a highly intelligent,economically competent contender for The President. TRUMP #Trump #realdonaldtrump #SemST,a highly intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent intelligent,FAVOR
20309,donald trump,i'm voting for donald trump ! #semst,UNKNOWN,trump ! ! i'm voting for donald tru,FAVOR
20310,donald trump,we need someine to bring this country back to life! @realdonaldtrump resuscitate america! #semst,UNKNOWN,a little bit of something to bring this country back to life! resus,AGAINST
20311,donald trump,@realdonaldtrump is the only one that says the truth straight up. no spin,and he constantly stands up for what he believes! #SemST,trumptrump is the only one that says the truth straight up. @reald,FAVOR
20312,donald trump,spine,I would like for you to meet the Republican Party.  #SemST,.. spine spine spine spine. Spine. Spine. Spine,FAVOR
20313,donald trump,jeb bush why don't u stand up for yr mexican family & denounce trump. have you no pride or balls?  #dumptrump #boycotttrump #semst,UNKNOWN,trump u stand up for yr mexican family &,AGAINST
20314,donald trump,@kesgardner @mikehansen613  wtf?????? the true face of #racism & it is ugly both inside & out #semst,UNKNOWN,wtf?????????????????????????????????????????????,AGAINST
20315,donald trump,@cnnpolitics @eugene_scott  careful donald. don't get carried away. #semst,UNKNOWN,@cnnpolitics @eugene_scott @cnn,AGAINST
20316,donald trump,trump,the best thing to happen to the Republican Party or should I say the Democratic Party. #keeptalking #SemST,trump. trump. trump. trump. tru,AGAINST
20317,donald trump,rt brutaltruth2682: radical islam is still a threat to the western world!!!! #awareness #patriot #unitedwestand #semst,UNKNOWN,2682:: radical islam is still a threat to the western world!!!!,AGAINST
20318,donald trump,delusional - adjective  1. having false or unrealistic beliefs or opinions 2. donald trump  #presidentialelection2016 #semst,UNKNOWN,- adjective 1. having false or unrealistic beliefs or opinions 2. being delusional - adjective,AGAINST
20319,donald trump,enough. 4far 2long  2% of pop. has dictated 2the 98% due 2fear by pcpolice/afraid 2b called a bigot/racist. no more!  #ccot #semst,UNKNOWN,. pcpolice/afraid 2b called a bigo,AGAINST
20320,donald trump,maybe if more patriots raised a fuss and did what the gays and other minority groups do we'd get this country back #semst,UNKNOWN,if more patriots did what the gays and other minority groups do we'd,FAVOR
20321,donald trump,@macys not selling trump because he voices his opinion.. what happy to freedom of speech.. i'll never shop at @macys again.. #semst,UNKNOWN,s not selling trump because he voices his opinion.. what happy to freedom of,FAVOR
20322,donald trump,honestly though @macys you dumped trump so now i'm dumping you. and i shop at your store a lot. not anymore bye #semst,UNKNOWN,i'm dumping you. i'm dumping you. i,AGAINST
20323,donald trump,a clown who wants to be president #youcantdoit #mexicansarechidos #semst,UNKNOWN,a clown who wants to be president #youcantdoit #mexican,AGAINST
20324,donald trump,if @macys wants to try to stall this country's progress that's their prerogative but i'm done shopping there #badbusiness #semst,UNKNOWN,@macys but i'm done shopping theresst,AGAINST
20325,donald trump,@timenout @tib2016 @alancolmes is a prime example of a #lobotomizedliberal. #semst,UNKNOWN,tib2016 @alancolmes is a prime example of a #lob,AGAINST
20326,donald trump,@realdonaldtrump you go get em donald!  the real folks are with you 110% #semst,UNKNOWN,trumptrump @realdonaldtrump!ttru,FAVOR
20327,donald trump,i would be so embarrassed if @realdonaldtrump were my dad. my dad was #conservative #marine but not stupid or unkind. #yuck #semst,UNKNOWN,i would be so embarrassed if @realdonaldtrump were my dad.,AGAINST
20328,donald trump,i wonder if trump's campaign manager is still just drinking or have they moved on to harder stuff. #semst,UNKNOWN,i wonder if trump's campaign manager is still just drinking or have they,AGAINST
20329,donald trump,oreo frappie from mcdonalds is the morning beverage of champions.#wakeandbake #mcdonalds #semst,UNKNOWN,oreo frappie from mcdonalds is the morning beverage of,FAVOR
20330,donald trump,@mcandles1 @oldrowrumors hoobastank goes against christ. shame #semst,UNKNOWN,@mcandles1 @oldrowrumors @mcandles1 @old,AGAINST
20331,donald trump,@carlachamorros grassley should know hilliary answers to no one!!!!!!  #semst,UNKNOWN,ros @carlachamorros @carlachamorros @carlachamorros,FAVOR
20332,donald trump,@loudobbsnews don't you just love that truth is now called controversial comments?!  has this country fallen that low?! #semst,UNKNOWN,bsnews don't you just love that truth is now called controversial comments?!,AGAINST
20333,donald trump,dear republicans: please nominate donald trump. the reminder that people like him exist will do wonders for the progressive cause #semst,UNKNOWN,sen. ted cruz: i'm a republican and i,FAVOR
20334,donald trump,@realdonaldtrump @ladypatriot777 @macys lousy merchandise made in china !!!!!!!  #semst,UNKNOWN,@ladypatriot777 @macys @realdonaldtrump @,AGAINST
20335,donald trump,@realdonaldtrump first sentence a must,but he'll NEVER be my President. #Truth will be revealed. He's an Indonesian citizen.  #SemST,trump first sentence a must a must a must a must a must,FAVOR
20336,donald trump,everything donald trump said was 100% true though. #semst,UNKNOWN,said was 100% true though.ttrump said 100% of what trump said,FAVOR
20337,donald trump,@gerfingerpoken2 @tomgreen1959 of course he did. traitors conspire with #traitors #impeachobama #semst,UNKNOWN,@tomgreen1959 of course he did. @gerfingerpoken,AGAINST
20338,donald trump,conflict is a vehicle for change!  ask @realdonaldtrump trump becoming a front runner. #usa #leadership #semst,UNKNOWN,trump. trump. #leadership #semst,AGAINST
20339,donald trump,@realdonaldtrump you work on the mexican wall and i will focus on the canadian wall!! #trueenemy #christie2016 #semst,UNKNOWN,trump @realdonaldtrump i will focus on the mexi,AGAINST
20340,donald trump,@realdonaldtrump @pamplinfilmco we needs some ballz back in the wh.. #semst,UNKNOWN,trump @realdonaldtrump @pamplinfilmco we need some ball,FAVOR
20341,donald trump,@realdonaldtrump its admirable how you're willing to lose sponsors for the greater good. we've longed for voice like yours! #semst,UNKNOWN,trumptrump @realdonaldtrump @realdonaldtrump,FAVOR
20342,donald trump,@realdonaldtrump you're not playing to win this = #semst,UNKNOWN,trump you're not playing to win this =trump you're not playing,AGAINST
20343,donald trump,"ty michael @asavagenation ""i'd do anything to help him; he's right","he's telling the truth"" @realDonaldTrump #BoycottMacys  #SemST","@asavagenation ""i'd do anything to help him; he'",FAVOR
20344,donald trump,@potus what are your thoughts on #semst,UNKNOWN,@potus what are your thoughts on #semst? @potus @,FAVOR
20345,donald trump,stop thinking you can walk around talking reckless in the end it will bite you in the ass #dontjudgeme #semst,UNKNOWN,you can walk around talking reckless stop thinking you can walk around talking reckless stop thinking reckless stop thinking,AGAINST
20346,donald trump,i'm voting for donald trump this election #waitonit #semst,UNKNOWN,trump this election #waitonit #semst #waitonit,FAVOR
20347,donald trump,clearly @realdonaldtrump has very good finance people because his shocking racist comments proves he not an intelligent human! #semst,UNKNOWN,trump has very good finance people because his shocking racist comments proves he not an intelligent,AGAINST
20348,donald trump,@realdonaldtrump fuck you racist ass bitch. go fuck yourself #semst,UNKNOWN,trump fuck you racist ass bitch.trump fuck you,AGAINST
